transect,year,plot,meas_est,rdm,soil,slope_class,landform,habitat
AD11,2004,5,2,5,TgD,3,Foothill,3
AD11,2005,1,1,28,ThE,2,Foothill,3
AD11,2005,2,1,6,ThE,1,Foothill,3
AD11,2005,3,1,6,ThE,1,Foothill,3
AD11,2005,4,1,12,TgD,1,Foothill,1
AD11,2005,5,1,12,TgD,1,Foothill,3
AD11,2005,1,2,20,TgD,1,Foothill,3
AD11,2005,2,2,8,TgD,2,Foothill,3
AD11,2005,3,2,10,TgD,2,Foothill,3
AD11,2005,4,2,9,TgD,3,Foothill,3
AD11,2005,5,2,8,TgD,3,Foothill,3
AD11,2014,1,1,6.5,ThE,2,Foothill,3
AD11,2014,2,1,4.5,ThE,1,Foothill,3
AD11,2014,3,1,5.5,ThE,1,Foothill,3
AD11,2014,4,1,2,TgD,1,Foothill,1
AD11,2014,5,1,5.5,TgD,1,Foothill,3
AD11,2014,1,2,2.5,TgD,1,Foothill,3
AD11,2014,2,2,7,TgD,2,Foothill,3
AD11,2014,3,2,5.5,TgD,2,Foothill,3
AD11,2014,4,2,2,TgD,3,Foothill,3
AD11,2014,5,2,4.5,TgD,3,Foothill,3
AD12,1997,1,1,8,TgE,2,Foothill,1
AD12,1997,2,1,52,TgE,3,Foothill,1
AD12,1997,3,1,580,TgE,3,Foothill,1
AD12,1997,4,1,6,ToE,3,Foothill,1
AD12,1997,5,1,44,SuD,3,Foothill,1
AD12,1997,1,2,,ThE,3,Foothill,1
AD12,1997,2,2,,ThE,3,Foothill,1
AD12,1997,3,2,,ThE,3,Foothill,3
AD12,1997,4,2,,ThE,3,Foothill,1
AD12,1997,5,2,,ThE,3,Foothill,3
AD12,1998,1,1,33.5,TgE,2,Foothill,1
AD12,1998,2,1,22,TgE,3,Foothill,1
AD12,1998,3,1,8.5,TgE,3,Foothill,1
AD12,1998,4,1,16.5,ToE,3,Foothill,1
AD12,1998,5,1,28,SuD,3,Foothill,1
AD12,1998,1,2,,ThE,3,Foothill,1
AD12,1998,2,2,,ThE,3,Foothill,1
AD12,1998,3,2,,ThE,3,Foothill,3
AD12,1998,4,2,,ThE,3,Foothill,1
AD12,1998,5,2,,ThE,3,Foothill,3
AD12,1999,1,1,15,TgE,2,Foothill,1
AD12,1999,2,1,19.5,TgE,3,Foothill,1
AD12,1999,3,1,62,TgE,3,Foothill,1
AD12,1999,4,1,9,ToE,3,Foothill,1
AD12,1999,5,1,26,SuD,3,Foothill,1
AD12,1999,1,2,,ThE,3,Foothill,1
AD12,1999,2,2,,ThE,3,Foothill,1
AD12,1999,3,2,,ThE,3,Foothill,3
AD12,1999,4,2,,ThE,3,Foothill,1
AD12,1999,5,2,,ThE,3,Foothill,3
AD12,2000,1,1,16,TgE,2,Foothill,1
AD12,2000,2,1,20,TgE,3,Foothill,1
AD12,2000,3,1,26,TgE,3,Foothill,1
AD12,2000,4,1,5,ToE,3,Foothill,1
AD12,2000,5,1,38,SuD,3,Foothill,1
AD12,2000,1,2,19,ThE,3,Foothill,1
AD12,2000,2,2,8,ThE,3,Foothill,1
AD12,2000,3,2,24,ThE,3,Foothill,3
AD12,2000,4,2,14,ThE,3,Foothill,1
AD12,2000,5,2,28,ThE,3,Foothill,3
AD12,2001,1,1,20,TgE,2,Foothill,1
AD12,2001,2,1,26,TgE,3,Foothill,1
AD12,2001,3,1,20,TgE,3,Foothill,1
AD12,2001,4,1,5,ToE,3,Foothill,1
AD12,2001,5,1,40,SuD,3,Foothill,1
AD12,2001,1,2,23,ThE,3,Foothill,1
AD12,2001,2,2,20,ThE,3,Foothill,1
AD12,2001,3,2,5,ThE,3,Foothill,3
AD12,2001,4,2,26,ThE,3,Foothill,1
AD12,2001,5,2,4,ThE,3,Foothill,3
AD12,2002,1,1,18,TgE,2,Foothill,1
AD12,2002,2,1,18,TgE,3,Foothill,1
AD12,2002,3,1,16,TgE,3,Foothill,1
AD12,2002,4,1,11,ToE,3,Foothill,1
AD12,2002,5,1,44,SuD,3,Foothill,1
AD12,2002,1,2,11,ThE,3,Foothill,1
AD12,2002,2,2,14,ThE,3,Foothill,1
AD12,2002,3,2,5,ThE,3,Foothill,3
AD12,2002,4,2,9,ThE,3,Foothill,1
AD12,2002,5,2,10,ThE,3,Foothill,3
AD12,2003,1,1,11,TgE,2,Foothill,1
AD12,2003,2,1,6,TgE,3,Foothill,1
AD12,2003,3,1,14,TgE,3,Foothill,1
AD12,2003,4,1,7,ToE,3,Foothill,1
AD12,2003,5,1,24.5,SuD,3,Foothill,1
AD12,2003,1,2,7,ThE,3,Foothill,1
AD12,2003,2,2,8,ThE,3,Foothill,1
AD12,2003,3,2,7,ThE,3,Foothill,3
AD12,2003,4,2,9,ThE,3,Foothill,1
AD12,2003,5,2,3,ThE,3,Foothill,3
AD12,2004,1,1,1,TgE,2,Foothill,1
AD12,2004,2,1,11,TgE,3,Foothill,1
AD12,2004,3,1,15,TgE,3,Foothill,1
AD12,2004,4,1,12,ToE,3,Foothill,1
AD12,2004,5,1,10,SuD,3,Foothill,1
AD12,2004,1,2,8,ThE,3,Foothill,1
AD12,2004,2,2,10,ThE,3,Foothill,1
AD12,2004,3,2,15,ThE,3,Foothill,3
AD12,2004,4,2,4,ThE,3,Foothill,1
AD12,2004,5,2,12,ThE,3,Foothill,3
AD12,2005,1,1,33.5,TgE,2,Foothill,1
AD12,2005,2,1,57,TgE,3,Foothill,1
AD12,2005,3,1,41,TgE,3,Foothill,1
AD12,2005,4,1,12.5,ToE,3,Foothill,1
AD12,2005,5,1,47,SuD,3,Foothill,1
AD12,2005,1,2,10,ThE,3,Foothill,1
AD12,2005,2,2,15,ThE,3,Foothill,1
AD12,2005,3,2,30,ThE,3,Foothill,3
AD12,2005,4,2,20,ThE,3,Foothill,1
AD12,2005,5,2,25,ThE,3,Foothill,3
AD12,2014,1,1,15,TgE,2,Foothill,1
AD12,2014,2,1,2.5,TgE,3,Foothill,1
AD12,2014,3,1,13,TgE,3,Foothill,1
AD12,2014,4,1,12.5,ToE,3,Foothill,1
AD12,2014,5,1,14.5,SuD,3,Foothill,1
AD12,2014,1,2,20.5,ThE,3,Foothill,1
AD12,2014,2,2,3.5,ThE,3,Foothill,1
AD12,2014,3,2,17.5,ThE,3,Foothill,3
AD12,2014,4,2,7.5,ThE,3,Foothill,1
AD12,2014,5,2,8.5,ThE,3,Foothill,3
